,AAPL,MSFT,GOOGL,AMZN,NVDA,FB,ADBE,CSCO,INTC,ORCL
AAPL,1.0000000000000002,0.6093586021756892,0.43516160922649133,0.5614574740041031,0.5842015451062278,0.5680880795393966,0.6642503719614707,0.32328152446555297,0.21009351959405603,0.3805378205635235
MSFT,0.6093586021756892,1.0,0.635901778546412,0.7004057271314951,0.5528275640953716,0.48727122553235774,0.8008479527427586,0.3248391506476724,0.3117237117849024,0.5294476776352243
GOOGL,0.43516160922649133,0.635901778546412,1.0000000000000007,0.5298131073799603,0.41627409049541936,0.5621791573116466,0.5077554572981664,0.2841621094989672,0.17667385005420996,0.4206752349315646
AMZN,0.5614574740041031,0.7004057271314951,0.5298131073799603,1.0000000000000002,0.5083867769092473,0.6100149287317106,0.6778681237344869,0.34300556160092516,0.13503701535296547,0.41274615748816634
NVDA,0.5842015451062278,0.5528275640953716,0.41627409049541936,0.5083867769092473,1.0,0.42670294869667813,0.623281285415529,0.1130847636246341,0.20763421502992804,0.34151173747061114
FB,0.5680880795393966,0.48727122553235774,0.5621791573116466,0.6100149287317106,0.42670294869667813,1.0000000000000002,0.6146060437584335,0.34504066700817754,0.14122941474336548,0.43050619100077997
ADBE,0.6642503719614707,0.8008479527427586,0.5077554572981664,0.6778681237344869,0.623281285415529,0.6146060437584335,1.0,0.3567695827303365,0.2799893192448834,0.5315975091378919
CSCO,0.32328152446555297,0.3248391506476724,0.2841621094989672,0.34300556160092516,0.1130847636246341,0.34504066700817754,0.3567695827303365,0.9999999999999997,0.3556082114746716,0.4349913530101284
INTC,0.21009351959405603,0.3117237117849024,0.17667385005420996,0.13503701535296547,0.20763421502992804,0.14122941474336548,0.2799893192448834,0.3556082114746716,1.0000000000000002,0.19634330084717538
ORCL,0.3805378205635235,0.5294476776352243,0.4206752349315646,0.41274615748816634,0.34151173747061114,0.43050619100077997,0.5315975091378919,0.4349913530101284,0.19634330084717538,0.9999999999999998
